2022-11-12 06:42:43 - Rotating Log - DEBUG - trying things with logger
2022-11-12 06:42:44 - matplotlib.pyplot - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2022-11-12 06:42:44 - matplotlib.pyplot - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-12 06:42:44 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='c:\\Miniconda3\\envs\\lyrics_parser\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
